epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,342.1,0.89239,1.06807,1.24066,0.77759,0.71745,0.78703,0.57584,0.94607,0.8852,1.22214,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,609.967,0.92132,1.13109,1.26046,0.75239,0.68921,0.75793,0.54292,0.98059,0.95868,1.2521,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388,0.0196016,0.00653388
3,864.583,0.97834,1.25157,1.29527,0.74681,0.6505,0.72809,0.50305,1.04816,1.06257,1.29834,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323,0.0288097,0.00960323
4,1114.66,1.04727,1.39405,1.34887,0.71667,0.65822,0.7161,0.49754,1.05478,1.06507,1.30922,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1365.02,1.0484,1.39362,1.34806,0.70181,0.65289,0.70097,0.48184,1.05207,1.1015,1.31205,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1615.68,1.04453,1.39082,1.34652,0.72727,0.65135,0.71807,0.49334,1.059,1.07828,1.31745,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1865.59,1.04156,1.37566,1.34399,0.72269,0.65484,0.7173,0.49935,1.04637,1.05741,1.30278,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2114.22,1.03353,1.36611,1.33784,0.72993,0.66414,0.72706,0.50276,1.04099,1.05921,1.30246,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2364.57,1.02563,1.36117,1.33731,0.74987,0.66149,0.74241,0.51956,1.0345,1.02309,1.29406,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2615.41,1.01772,1.34078,1.32896,0.74955,0.66975,0.73749,0.51863,1.02507,1.02168,1.29053,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2865.25,1.01914,1.32806,1.32749,0.75839,0.6583,0.74151,0.52275,1.02043,1.01891,1.28533,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
