epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
12,3115.15,1.01417,1.31445,1.32692,0.76911,0.66685,0.75452,0.52954,1.01783,1.00115,1.28495,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3365.32,1.00819,1.30651,1.31896,0.75373,0.68554,0.75525,0.53595,1.01626,0.98307,1.27989,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3719.66,1.00165,1.29191,1.3163,0.76495,0.68376,0.763,0.54215,0.99725,0.96568,1.25974,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4303.53,0.99514,1.27336,1.31191,0.76582,0.69063,0.76538,0.5459,1.00133,0.95442,1.26424,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4883.84,0.98623,1.26572,1.3099,0.75894,0.69651,0.76561,0.54731,0.99172,0.95157,1.25828,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5467.67,0.98735,1.25774,1.30681,0.77366,0.69766,0.77311,0.55139,0.98538,0.93016,1.24958,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6047.84,0.9805,1.24458,1.2985,0.78833,0.7013,0.77754,0.55843,0.98669,0.92982,1.24836,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6628.29,0.97638,1.23877,1.29589,0.789,0.69976,0.78056,0.56201,0.97633,0.92529,1.24355,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7210.03,0.97017,1.22186,1.29158,0.78368,0.70756,0.78455,0.56414,0.97744,0.91553,1.24226,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7790.56,0.97068,1.21264,1.29282,0.79825,0.70413,0.789,0.57105,0.96783,0.90564,1.23675,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8373.84,0.95703,1.20113,1.28297,0.77283,0.70867,0.78411,0.56958,0.96047,0.90042,1.22697,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8956.45,0.958,1.19005,1.28358,0.78643,0.70931,0.78926,0.57122,0.96245,0.88907,1.22645,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9254.85,0.94824,1.17145,1.27636,0.77704,0.71588,0.78803,0.5702,0.96054,0.89614,1.22738,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9504.47,0.9467,1.17012,1.27393,0.79088,0.71225,0.79318,0.57763,0.95144,0.88362,1.21913,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9754.58,0.94362,1.16191,1.27466,0.78227,0.71895,0.79588,0.57955,0.95015,0.87191,1.21945,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10005.3,0.93418,1.14277,1.26763,0.79594,0.72014,0.79778,0.5797,0.9495,0.86512,1.21826,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10254.8,0.9336,1.14418,1.26662,0.79065,0.72617,0.79722,0.58278,0.94028,0.86208,1.21217,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,10507.3,0.93002,1.12765,1.26059,0.78523,0.72003,0.79822,0.5842,0.9402,0.86024,1.20883,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10757.9,0.9256,1.12491,1.25926,0.79333,0.72079,0.80169,0.5873,0.93802,0.85444,1.20718,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11007.9,0.91632,1.10527,1.25048,0.79287,0.72659,0.803,0.59088,0.93437,0.85112,1.20814,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,11260,0.90717,1.098,1.24924,0.7946,0.73545,0.80521,0.59105,0.93393,0.84598,1.20627,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11512,0.91125,1.08812,1.24775,0.79488,0.73228,0.80622,0.59276,0.9308,0.84221,1.20231,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11764.5,0.90434,1.07638,1.24224,0.80347,0.72687,0.80809,0.59358,0.92848,0.83612,1.20013,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12014.4,0.89584,1.06469,1.23638,0.79858,0.73626,0.80987,0.59779,0.92696,0.8319,1.19841,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12267.9,0.89547,1.05173,1.23584,0.79436,0.73815,0.81081,0.5993,0.92397,0.82584,1.19633,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12520.6,0.88978,1.04673,1.23011,0.80239,0.73382,0.81292,0.60136,0.92073,0.82393,1.19451,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12775.6,0.88255,1.03311,1.22853,0.80447,0.73594,0.81525,0.60226,0.9197,0.82062,1.19365,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13027,0.87926,1.02629,1.22393,0.80324,0.74118,0.8163,0.60397,0.91716,0.81697,1.1917,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13281.2,0.87407,1.01735,1.22333,0.80485,0.7359,0.81457,0.60375,0.91684,0.81616,1.19155,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13564.6,0.81973,0.82389,1.18734,0.80722,0.73596,0.814,0.60508,0.91536,0.81371,1.19164,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,58955.9,0.81055,0.8002,1.184,0.81032,0.73037,0.81349,0.6067,0.91176,0.81214,1.1893,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,59204.7,0.79563,0.77542,1.17056,0.80946,0.73655,0.81539,0.60735,0.9103,0.80928,1.18843,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,59455.3,0.78778,0.76516,1.16361,0.81158,0.73419,0.8149,0.60697,0.91031,0.80699,1.18886,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,59702.2,0.78009,0.75244,1.15548,0.81221,0.73673,0.81449,0.60669,0.91101,0.80417,1.1889,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,59950.4,0.77466,0.73621,1.15195,0.80716,0.74327,0.81562,0.60849,0.91053,0.80341,1.18822,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,60197.7,0.7666,0.73112,1.14823,0.80721,0.74004,0.81477,0.6077,0.91033,0.80345,1.18824,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,60445.4,0.76124,0.72069,1.14448,0.81185,0.738,0.81468,0.60738,0.91064,0.80207,1.18788,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
