epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,107.781,1.02718,1.05972,1.1558,0.7404,0.77491,0.81846,0.62967,0.89518,0.76597,1.00185,2.71E-05,2.71E-05,2.71E-05
41,141.542,1.04221,1.24458,1.16171,0.85619,0.69672,0.80962,0.62198,0.90604,0.79633,1.00256,2.48E-05,2.48E-05,2.48E-05
42,144.389,1.06118,1.23877,1.14503,0.83866,0.69087,0.80026,0.61345,0.92497,0.83415,1.01063,2.24E-05,2.24E-05,2.24E-05
43,147.102,1.03436,1.0961,1.11848,0.81492,0.69849,0.80216,0.61441,0.92952,0.83741,1.01213,2.00E-05,2.00E-05,2.00E-05
44,149.731,1.09074,1.13642,1.16357,0.8267,0.69325,0.80231,0.61249,0.93202,0.8285,1.01363,1.77E-05,1.77E-05,1.77E-05
45,152.278,1.04225,1.05583,1.16485,0.82171,0.69697,0.80374,0.62065,0.92405,0.8149,1.00982,1.53E-05,1.53E-05,1.53E-05
46,154.864,1.06477,1.08327,1.13507,0.83573,0.69225,0.80335,0.62082,0.91964,0.80311,1.00693,1.30E-05,1.30E-05,1.30E-05
47,157.46,1.05376,1.10509,1.1516,0.81797,0.69597,0.80318,0.61954,0.9222,0.79715,1.00756,1.06E-05,1.06E-05,1.06E-05
48,160.036,1.10589,1.12828,1.16325,0.83606,0.68841,0.80153,0.61956,0.92386,0.78961,1.00923,8.26E-06,8.26E-06,8.26E-06
49,162.62,1.04933,1.06616,1.13598,0.82466,0.69462,0.80499,0.61896,0.92525,0.79272,1.00896,5.90E-06,5.90E-06,5.90E-06
50,165.203,1.07752,1.07222,1.14178,0.84857,0.68293,0.80505,0.61836,0.92283,0.79453,1.00936,3.55E-06,3.55E-06,3.55E-06
