epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11430.1,1.04188,1.35345,1.50094,0.76248,0.68046,0.76029,0.53174,1.03673,1.02142,1.46612,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11701.9,1.04719,1.34548,1.5037,0.74759,0.69775,0.76527,0.53797,1.03204,1.0064,1.4613,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11976.8,1.03632,1.33032,1.49337,0.76525,0.68279,0.76467,0.53819,1.02531,1.00182,1.45662,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12248.2,1.02857,1.30999,1.48489,0.77423,0.67939,0.76803,0.54181,1.02471,0.99357,1.45375,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12520.2,1.02421,1.29452,1.48102,0.76471,0.68521,0.76857,0.54227,1.02369,0.98888,1.45048,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12797.2,1.01968,1.28513,1.4726,0.7615,0.69283,0.774,0.54634,1.02172,0.98105,1.44654,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13070.7,1.00971,1.26814,1.4672,0.76692,0.69663,0.7757,0.54932,1.0185,0.97653,1.44376,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13341,1.00575,1.26237,1.46202,0.75832,0.70084,0.77607,0.54971,1.01721,0.97288,1.44135,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13612.7,0.99652,1.2471,1.45958,0.75467,0.70526,0.77552,0.54997,1.01504,0.96904,1.44109,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13954.5,0.95559,1.04906,1.43101,0.74948,0.71156,0.77649,0.55006,1.0116,0.96417,1.43881,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14220.7,0.93701,1.016,1.41851,0.76422,0.70277,0.77748,0.55186,1.00788,0.96159,1.43724,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14489.5,0.92725,0.99041,1.40797,0.77483,0.69656,0.77859,0.55325,1.00583,0.95854,1.4357,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14764.3,0.91829,0.97632,1.40259,0.77156,0.69864,0.77934,0.55347,1.0059,0.95755,1.43642,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15043.1,0.90301,0.9534,1.38689,0.77124,0.70219,0.77951,0.55444,1.00379,0.95353,1.43497,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,15314,0.89818,0.93917,1.38151,0.76751,0.7042,0.77924,0.55565,1.00199,0.95119,1.43255,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,15588,0.89294,0.92584,1.37701,0.77654,0.7009,0.77947,0.55604,1.00134,0.94975,1.43172,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,47071.7,0.88236,0.90752,1.37029,0.77749,0.7004,0.77956,0.55603,1.00126,0.94817,1.43185,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,47342.7,0.87733,0.89575,1.36327,0.77851,0.69903,0.77932,0.55653,1.00086,0.94657,1.43132,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,47613.6,0.86942,0.88254,1.356,0.77862,0.70129,0.77964,0.55629,1.00107,0.94483,1.43125,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
