epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,165.93,2.82997,3.86724,3.61502,0.39611,0.23035,0.1339,0.05127,2.76976,4.55284,3.60666,2.48E-05,2.48E-05,2.48E-05
42,169.329,2.84754,3.78659,3.60572,0.36668,0.22949,0.13083,0.05098,2.7692,4.56632,3.60139,2.24E-05,2.24E-05,2.24E-05
43,172.675,2.85115,3.78641,3.60732,0.356,0.23041,0.1296,0.05064,2.75736,4.43213,3.59395,2.00E-05,2.00E-05,2.00E-05
44,176.027,2.78328,3.72559,3.59613,0.40492,0.22997,0.13983,0.05385,2.75409,4.57028,3.58951,1.77E-05,1.77E-05,1.77E-05
45,179.366,2.8319,3.79931,3.58791,0.43214,0.21285,0.13857,0.05522,2.73346,4.59614,3.57902,1.53E-05,1.53E-05,1.53E-05
46,182.748,2.79964,3.97104,3.56234,0.42933,0.22403,0.13688,0.05391,2.72669,4.56063,3.57686,1.30E-05,1.30E-05,1.30E-05
47,186.051,2.80888,3.75109,3.59084,0.45508,0.20652,0.14168,0.05634,2.71792,4.46978,3.57503,1.06E-05,1.06E-05,1.06E-05
48,189.416,2.82101,3.8722,3.59854,0.40875,0.21881,0.14369,0.05709,2.71779,4.44122,3.57453,8.26E-06,8.26E-06,8.26E-06
49,192.762,2.81953,3.78765,3.59111,0.41959,0.22826,0.14936,0.05842,2.72477,4.41142,3.57451,5.90E-06,5.90E-06,5.90E-06
50,196.08,2.77547,3.6814,3.58258,0.36413,0.23413,0.15843,0.061,2.72084,4.33584,3.57141,3.55E-06,3.55E-06,3.55E-06
