epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
41,164.55,3.29159,5.32975,4.01828,0.00096,0.03562,0.00205,0.00037,3.36868,4.64194,4.04414,2.48E-05,2.48E-05,2.48E-05,
42,167.886,3.33831,5.40216,4.00427,0.21494,0.00698,0.00187,0.00041,3.37136,4.6577,4.03911,2.24E-05,2.24E-05,2.24E-05,
43,171.187,3.31575,5.37368,4.00884,0.15671,0.00812,0.00203,0.0004,3.37572,4.67981,4.03348,2.00E-05,2.00E-05,2.00E-05,
44,174.486,3.27869,5.27712,3.9948,0.1713,0.0079,0.0021,0.00051,3.36903,4.67935,4.0304,1.77E-05,1.77E-05,1.77E-05,
45,177.616,3.35108,5.2784,3.9948,0.00131,0.03765,0.00253,0.00047,3.36388,4.63252,4.02843,1.53E-05,1.53E-05,1.53E-05,
46,180.878,3.32383,5.59995,4.00038,0.05719,0.03161,0.00305,0.00071,3.37146,4.64913,4.03402,1.30E-05,1.30E-05,1.30E-05,
47,184.392,3.30945,5.31426,4.00334,0.00075,0.03285,0.00202,0.00046,3.36755,4.63163,4.0291,1.06E-05,1.06E-05,1.06E-05,
48,187.783,3.21765,5.39741,3.98464,0.00086,0.04001,0.00258,0.00067,3.36076,4.60926,4.02131,8.26E-06,8.26E-06,8.26E-06,
49,191.159,3.30565,5.38281,3.98831,0.00093,0.04651,0.00205,0.00048,3.36027,4.59821,4.01884,5.90E-06,5.90E-06,5.90E-06,
50,194.42,3.34636,5.29955,3.9954,0.19877,0.00648,0.00177,0.00042,3.35992,4.61981,4.02294,3.55E-06,3.55E-06,3.55E-06,
,,,,,,,,,,,,,,,
