epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,41.3289,3.48716,4.6886,3.99979,0.12255,0.1069,0.03793,0.01129,3.31569,4.96325,4.06189,9.07256e-05,9.07256e-05,9.07256e-05
14,44.6195,3.48473,4.57898,3.99724,0.0226,0.16173,0.04362,0.01409,3.30561,4.76362,4.04732,8.83694e-05,8.83694e-05,8.83694e-05
15,47.8776,3.46682,4.517,3.96429,0.59512,0.03971,0.04357,0.01352,3.30363,4.78238,4.03932,8.60132e-05,8.60132e-05,8.60132e-05
16,51.1468,3.47826,4.44131,3.96565,0.60126,0.04259,0.04393,0.01449,3.29191,4.50059,4.03076,8.3657e-05,8.3657e-05,8.3657e-05
17,54.3936,3.45326,4.35097,3.95321,0.53929,0.05758,0.04913,0.02018,3.28269,4.43809,4.02075,8.13008e-05,8.13008e-05,8.13008e-05
18,57.7262,3.42481,4.44785,3.93388,0.57484,0.04849,0.06135,0.02544,3.27066,4.55711,4.01909,7.89446e-05,7.89446e-05,7.89446e-05
19,61.0253,3.30689,4.40424,3.94245,0.56633,0.04517,0.06927,0.02814,3.2491,4.8418,4.00459,7.65884e-05,7.65884e-05,7.65884e-05
20,64.4312,3.32427,4.34291,3.91857,0.51985,0.06207,0.07472,0.02926,3.22138,4.87279,3.98731,7.42322e-05,7.42322e-05,7.42322e-05
21,67.7991,3.40551,4.20256,3.8891,0.55589,0.06651,0.07578,0.02896,3.19338,4.72346,3.97059,7.1876e-05,7.1876e-05,7.1876e-05
22,70.9907,3.21253,4.05063,3.90291,0.54716,0.08298,0.08983,0.03112,3.15578,4.45538,3.96307,6.95198e-05,6.95198e-05,6.95198e-05
23,74.3389,3.34187,4.08675,3.89575,0.52908,0.09469,0.09843,0.03254,3.12388,4.4431,3.94959,6.71636e-05,6.71636e-05,6.71636e-05
24,77.706,3.22975,4.03291,3.8575,0.55603,0.10086,0.10544,0.03573,3.08386,4.5561,3.94103,6.48074e-05,6.48074e-05,6.48074e-05
25,80.9876,3.16578,4.00622,3.86303,0.65846,0.09419,0.11186,0.04004,3.05147,4.53431,3.92992,6.24512e-05,6.24512e-05,6.24512e-05
26,84.2689,3.19954,3.93622,3.87035,0.64359,0.08986,0.11384,0.04514,3.02482,4.42549,3.90973,6.0095e-05,6.0095e-05,6.0095e-05
27,87.6057,3.12365,3.86094,3.83807,0.66832,0.08402,0.11797,0.04653,3.00245,4.4292,3.88935,5.77388e-05,5.77388e-05,5.77388e-05
28,90.8732,3.10909,3.92212,3.83425,0.6836,0.08605,0.12573,0.05194,2.98013,4.63113,3.87873,5.53826e-05,5.53826e-05,5.53826e-05
29,94.2361,3.12503,3.88401,3.83116,0.47488,0.14285,0.12713,0.05193,2.95794,4.73247,3.86789,5.30264e-05,5.30264e-05,5.30264e-05
30,97.5336,3.08544,3.88579,3.78827,0.4679,0.14234,0.1291,0.05201,2.93447,4.57041,3.85683,5.06702e-05,5.06702e-05,5.06702e-05
31,101.009,3.06702,3.85085,3.80866,0.45156,0.16428,0.14311,0.05877,2.92956,4.23814,3.84728,4.8314e-05,4.8314e-05,4.8314e-05
32,104.416,3.04595,3.75023,3.80434,0.64846,0.09307,0.14771,0.06192,2.91667,4.22794,3.84686,4.59578e-05,4.59578e-05,4.59578e-05
33,107.728,3.12569,3.78225,3.7849,0.69348,0.08679,0.14751,0.06482,2.89787,4.32131,3.83504,4.36016e-05,4.36016e-05,4.36016e-05
34,111.218,3.0909,3.74183,3.77492,0.45633,0.18207,0.16289,0.06717,2.8857,4.2517,3.82809,4.12454e-05,4.12454e-05,4.12454e-05
35,114.513,3.09346,3.62878,3.77502,0.45833,0.1734,0.1615,0.06578,2.87587,3.93041,3.81932,3.88892e-05,3.88892e-05,3.88892e-05
36,117.919,3.09279,3.65271,3.74666,0.68898,0.08197,0.15972,0.06644,2.8657,3.89539,3.81287,3.6533e-05,3.6533e-05,3.6533e-05
37,121.218,2.99975,3.60195,3.76166,0.65009,0.08957,0.16369,0.06801,2.85572,4.09675,3.81329,3.41768e-05,3.41768e-05,3.41768e-05
38,124.665,3.00061,3.57811,3.7486,0.66159,0.0851,0.15949,0.06613,2.84037,4.16811,3.80547,3.18206e-05,3.18206e-05,3.18206e-05
39,127.94,2.96409,3.6039,3.74818,0.48927,0.1704,0.16194,0.06612,2.82917,4.25141,3.80113,2.94644e-05,2.94644e-05,2.94644e-05
40,131.262,2.95987,3.49142,3.75703,0.60934,0.11163,0.16202,0.06653,2.81951,4.1883,3.79422,2.71082e-05,2.71082e-05,2.71082e-05
41,164.601,2.89113,3.93326,3.77008,0.54756,0.15644,0.15277,0.06541,2.83486,4.60315,3.78715,2.4752e-05,2.4752e-05,2.4752e-05
42,167.908,2.87116,3.8705,3.7378,0.52667,0.13407,0.14174,0.0595,2.844,4.75599,3.78546,2.23958e-05,2.23958e-05,2.23958e-05
43,171.164,2.89498,3.76941,3.73162,0.54856,0.13615,0.14724,0.0605,2.83935,4.67003,3.77584,2.00396e-05,2.00396e-05,2.00396e-05
44,174.398,2.88366,3.85869,3.7414,0.5462,0.13459,0.15618,0.0629,2.83468,5.00351,3.77169,1.76834e-05,1.76834e-05,1.76834e-05
45,177.615,2.89998,3.76829,3.74936,0.47526,0.15915,0.16009,0.06413,2.81386,5.16926,3.76872,1.53272e-05,1.53272e-05,1.53272e-05
46,180.79,2.84361,3.91862,3.71682,0.55055,0.1426,0.1571,0.06558,2.80672,5.02708,3.77031,1.2971e-05,1.2971e-05,1.2971e-05
47,183.938,2.81781,3.80714,3.72232,0.5628,0.14492,0.16164,0.06746,2.79063,5.00123,3.76614,1.06148e-05,1.06148e-05,1.06148e-05
48,187.198,2.81505,3.9269,3.73171,0.56292,0.14307,0.16428,0.06651,2.78973,5.20068,3.76112,8.2586e-06,8.2586e-06,8.2586e-06
49,190.319,2.87981,3.85931,3.73257,0.49991,0.16163,0.16932,0.06844,2.78973,5.12047,3.75884,5.9024e-06,5.9024e-06,5.9024e-06
50,193.534,2.90583,3.78171,3.72948,0.50183,0.15993,0.16522,0.06666,2.78818,4.98172,3.75748,3.5462e-06,3.5462e-06,3.5462e-06
