epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43191,3.55594,5.7418,4.23049,0,0,0,0,3.49128,5.32518,4.16143,3.689e-05,3.689e-05,3.689e-05
2,7.22347,3.56086,5.62797,4.2063,0,0,0,0,3.49158,5.33329,4.16829,7.34856e-05,7.34856e-05,7.34856e-05
3,9.95262,3.58439,5.43829,4.1822,0,0,0,0,3.48086,5.33708,4.17373,0.000108573,0.000108573,0.000108573
4,12.6873,3.66959,5.29028,4.15895,0,0,0,0,3.46118,5.20149,4.1628,0.000111931,0.000111931,0.000111931
5,15.4847,3.60327,5.31267,4.13317,0.00619,0.00632,0.002,0.00065,3.43581,4.85369,4.13325,0.000109575,0.000109575,0.000109575
6,18.5947,3.60747,5.34473,4.13958,0.0053,0.0241,0.00394,0.00093,3.4344,5.05824,4.14029,0.000107219,0.000107219,0.000107219
7,21.8011,3.64388,5.22063,4.13253,0.00422,0.0558,0.00842,0.00221,3.41297,6.37822,4.13683,0.000104863,0.000104863,0.000104863
8,25.0392,3.50348,5.01204,4.10592,0.00379,0.07967,0.0132,0.00348,3.39174,4.88506,4.12563,0.000102507,0.000102507,0.000102507
9,28.243,3.53798,4.96566,4.07625,0.00432,0.1058,0.02558,0.00609,3.37535,4.44037,4.11386,0.00010015,0.00010015,0.00010015
10,31.5262,3.5367,4.8618,4.05888,0.59754,0.01589,0.01631,0.00401,3.36682,4.6678,4.10068,9.77942e-05,9.77942e-05,9.77942e-05
11,34.796,3.53883,4.61866,4.05315,0.59548,0.02422,0.01727,0.00488,3.34419,4.87182,4.085,9.5438e-05,9.5438e-05,9.5438e-05
12,38.0202,3.44793,4.7526,4.01922,0.01734,0.12823,0.03388,0.01213,3.32987,4.84119,4.07529,9.30818e-05,9.30818e-05,9.30818e-05
