epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
40,101.283,3.46904,5.34152,4.09518,0.00026,0.00791,0.00024,5.00E-05,3.39779,4.87465,4.11815,2.71E-05,2.71E-05,2.71E-05,
41,133.857,3.32773,5.54935,4.09578,0.00024,0.00543,0.00048,0.0001,3.39039,4.84232,4.10926,2.48E-05,2.48E-05,2.48E-05,
42,136.42,3.36884,5.57758,4.08607,0.30994,0.0005,2.00E-05,1.00E-05,3.38853,4.8306,4.10735,2.24E-05,2.24E-05,2.24E-05,
43,139.015,3.35317,5.56876,4.07804,9.00E-05,0.00543,4.00E-05,1.00E-05,3.38206,4.81494,4.10748,2.00E-05,2.00E-05,2.00E-05,
44,141.499,3.36001,5.46354,4.08191,9.00E-05,0.00543,3.00E-05,1.00E-05,3.37706,4.81787,4.10162,1.77E-05,1.77E-05,1.77E-05,
45,143.986,3.39676,5.50843,4.07623,0.0001,0.00532,4.00E-05,1.00E-05,3.37665,4.81274,4.10464,1.53E-05,1.53E-05,1.53E-05,
46,146.488,3.31233,5.71066,4.08163,0.00018,0.01078,0.00019,4.00E-05,3.37878,4.81517,4.12446,1.30E-05,1.30E-05,1.30E-05,
47,148.988,3.33686,5.55799,4.07197,0.52151,0.00011,2.00E-05,1.00E-05,3.38295,4.82705,4.11719,1.06E-05,1.06E-05,1.06E-05,
48,151.459,3.27141,5.57789,4.07067,0.47896,6.00E-05,2.00E-05,1.00E-05,3.37454,4.81839,4.10316,8.26E-06,8.26E-06,8.26E-06,
49,153.919,3.34619,5.60224,4.07089,0.0001,0.00576,4.00E-05,1.00E-05,3.37992,4.81089,4.09258,5.90E-06,5.90E-06,5.90E-06,
50,156.435,3.41059,5.50642,4.08416,0.49321,0.00017,2.00E-05,1.00E-05,3.3744,4.79631,4.11832,3.55E-06,3.55E-06,3.55E-06,
